holder_name,held_name,stake_pct,filing_date,entity_type,holder_role,shares_held,held_scrip_code,as_on_date,group
Thai Rayon Public Co. Ltd.,UltraTech Cement Ltd,0.07,2026-07-15,corporate,Promoter Group,219998,532538,2026-06-30,Aditya Birla
Aditya Birla Real Estate Limited,UltraTech Cement Ltd,0.05,2026-07-15,corporate,Promoter Group,146163,532538,2026-06-30,Aditya Birla
PT. Sunrise Bumi Textiles,UltraTech Cement Ltd,0.05,2026-07-15,corporate,Promoter Group,144998,532538,2026-06-30,Aditya Birla
Birla Institute of Technology and Science,UltraTech Cement Ltd,0.03,2026-07-15,corporate,Promoter Group,75566,532538,2026-06-30,Aditya Birla
PT. Elegant Textile Industry,UltraTech Cement Ltd,0.03,2026-07-15,corporate,Promoter Group,92428,532538,2026-06-30,Aditya Birla
Birla Group Holdings Pvt. Limited,UltraTech Cement Ltd,0.02,2026-07-15,corporate,Promoter Group,69963,532538,2026-06-30,Aditya Birla
Padmavati Investment Private Limited,UltraTech Cement Ltd,0.02,2026-07-15,corporate,Promoter Group,56336,532538,2026-06-30,Aditya Birla
Century Enka Limited,UltraTech Cement Ltd,0.01,2026-07-15,corporate,Promoter Group,40105,532538,2026-06-30,Aditya Birla
Smt. Rajashree Birla,UltraTech Cement Ltd,0.01,2026-07-15,individual,Promoter Group,41793,532538,2026-06-30,Aditya Birla
Aditya Vikram Kumarmangalam Birla HUF,UltraTech Cement Ltd,0.0,2026-07-15,individual,Promoter Group,10228,532538,2026-06-30,Aditya Birla
Advaitesha Birla,UltraTech Cement Ltd,0.0,2026-07-15,individual,Promoter Group,4300,532538,2026-06-30,Aditya Birla
Ananyashree Birla,UltraTech Cement Ltd,0.0,2026-07-15,individual,Promoter Group,4300,532538,2026-06-30,Aditya Birla
Aryaman Vikram Birla,UltraTech Cement Ltd,0.0,2026-07-15,individual,Promoter Group,4300,532538,2026-06-30,Aditya Birla
IGH Holdings Private Limited,UltraTech Cement Ltd,0.0,2026-07-15,corporate,Promoter Group,1,532538,2026-06-30,Aditya Birla
Rajratna Holdings Pvt. Limited,UltraTech Cement Ltd,0.0,2026-07-15,corporate,Promoter Group,76,532538,2026-06-30,Aditya Birla
Smt. Neerja Birla,UltraTech Cement Ltd,0.0,2026-07-15,individual,Promoter Group,8011,532538,2026-06-30,Aditya Birla
Smt. Vasavadatta Bajaj,UltraTech Cement Ltd,0.0,2026-07-15,individual,Promoter Group,13396,532538,2026-06-30,Aditya Birla
Surya Kiran Investments Pte. Ltd.,UltraTech Cement Ltd,0.0,2026-07-15,corporate,Promoter Group,572,532538,2026-06-30,Aditya Birla
Vaibhav Holdings Pvt. Limited,UltraTech Cement Ltd,0.0,2026-07-15,corporate,Promoter Group,76,532538,2026-06-30,Aditya Birla
Vikram Holding Pvt. Limited,UltraTech Cement Ltd,0.0,2026-07-15,corporate,Promoter Group,85,532538,2026-06-30,Aditya Birla
Department of Investment and Public Asset Management,Vodafone Idea Ltd,49.0,2026-07-21,corporate,Public (>1%),53083184899,532822,2026-06-30,Aditya Birla
EURO PACIFIC SECURITIES LTD,Vodafone Idea Ltd,5.16,2026-07-21,corporate,Promoter,5593277865,532822,2026-06-30,Aditya Birla
ORIANA INVESTMENTS PTE LTD,Vodafone Idea Ltd,4.05,2026-07-21,corporate,Promoter Group,4388598920,532822,2026-06-30,Aditya Birla
GRASIM INDUSTRIES LTD,Vodafone Idea Ltd,3.06,2026-07-21,corporate,Promoter,3317566167,532822,2026-06-30,Aditya Birla
PRIME METALS LTD,Vodafone Idea Ltd,2.54,2026-07-21,corporate,Promoter,2756484727,532822,2026-06-30,Aditya Birla
MOBILVEST,Vodafone Idea Ltd,1.55,2026-07-21,corporate,Promoter,1675994466,532822,2026-06-30,Aditya Birla
VODAFONE TELECOMMUNICATIONS (INDIA) LIMITED,Vodafone Idea Ltd,1.5,2026-07-21,corporate,Promoter,1624511788,532822,2026-06-30,Aditya Birla
TRANS CRYSTAL LTD.,Vodafone Idea Ltd,1.35,2026-07-21,corporate,Promoter,1461143311,532822,2026-06-30,Aditya Birla
OMEGA TELECOM HOLDINGS PRIVATE LIMITED,Vodafone Idea Ltd,1.26,2026-07-21,corporate,Promoter,1363612391,532822,2026-06-30,Aditya Birla
KOTAK MAHINDRA TRUSTEE CO LTD A/C KOTAK NIFTY MIDCAP 150 MOMENTUM 50 INDEX FUND,Vodafone Idea Ltd,1.04,2026-07-21,corporate,Public (>1%),1122284594,532822,2026-06-30,Aditya Birla
ASIAN TELECOMMUNICATIONS INVESTMENTS (MAURITIUS) LIMITED,Vodafone Idea Ltd,0.9,2026-07-21,corporate,Promoter,980469868,532822,2026-06-30,Aditya Birla
ELAINE INVESTMENTS PTE LTD,Vodafone Idea Ltd,0.79,2026-07-21,corporate,Promoter Group,861128643,532822,2026-06-30,Aditya Birla
AL-AMIN INVESTMENTS LTD,Vodafone Idea Ltd,0.75,2026-07-21,corporate,Promoter,812744186,532822,2026-06-30,Aditya Birla
HINDALCO INDUSTRIES LIMITED,Vodafone Idea Ltd,0.69,2026-07-21,corporate,Promoter,751119164,532822,2026-06-30,Aditya Birla
USHA MARTIN TELEMATICS LIMITED,Vodafone Idea Ltd,0.65,2026-07-21,corporate,Promoter,699746867,532822,2026-06-30,Aditya Birla
CC II (MAURITIUS) INC,Vodafone Idea Ltd,0.41,2026-07-21,corporate,Promoter,446059752,532822,2026-06-30,Aditya Birla
IGH HOLDINGS PRIVATE LIMITED,Vodafone Idea Ltd,0.38,2026-07-21,corporate,Promoter Group,407528454,532822,2026-06-30,Aditya Birla
BIRLA GROUP HOLDINGS PRIVATE LIMITED,Vodafone Idea Ltd,0.33,2026-07-21,corporate,Promoter,353798538,532822,2026-06-30,Aditya Birla
PILANI INVESTMENT AND INDUSTRIES CORPORATION LIMITED,Vodafone Idea Ltd,0.17,2026-07-21,corporate,Promoter Group,189528530,532822,2026-06-30,Aditya Birla
Kumar Mangalam Birla,Vodafone Idea Ltd,0.09,2026-07-21,individual,Promoter,97764906,532822,2026-06-30,Aditya Birla
Tube Investments of India Limited,CG Power and Industrial Solutions Ltd,56.29,2026-07-20,corporate,Promoter,886485532,500093,2026-06-30,Murugappa
NPS TRUST- A/C SBI PENSION FUND SCHEME - STATE GOVT,CG Power and Industrial Solutions Ltd,3.51,2026-07-20,corporate,Public (>1%),55304797,500093,2026-06-30,Murugappa
MOTILAL OSWAL LARGE AND MIDCAP FUND,CG Power and Industrial Solutions Ltd,1.62,2026-07-20,corporate,Public (>1%),25535832,500093,2026-06-30,Murugappa
AXIS ELSS TAX SAVER FUND,CG Power and Industrial Solutions Ltd,1.57,2026-07-20,corporate,Public (>1%),24685253,500093,2026-06-30,Murugappa
GOVERNMENT PENSION FUND GLOBAL,CG Power and Industrial Solutions Ltd,1.1,2026-07-20,corporate,Public (>1%),17357839,500093,2026-06-30,Murugappa
NIPPON LIFE INDIA TRUSTEE LTD-A/C NIPPON INDIA MULTI CAP FUND,CG Power and Industrial Solutions Ltd,1.1,2026-07-20,corporate,Public (>1%),17287162,500093,2026-06-30,Murugappa
"M A MURUGAPPAN HOLDINGS LLP (Formerly, M A Murugappan Holdings Private Limited)",CG Power and Industrial Solutions Ltd,0.02,2026-07-20,corporate,Promoter Group,369530,500093,2026-06-30,Murugappa
M A M ARUNACHALAM,CG Power and Industrial Solutions Ltd,0.01,2026-07-20,individual,Promoter Group,220920,500093,2026-06-30,Murugappa
M A M ARUNACHALAM (in the capacity as Kartha of HUF),CG Power and Industrial Solutions Ltd,0.01,2026-07-20,individual,Promoter Group,87300,500093,2026-06-30,Murugappa
M.A.ALAGAPPAN,CG Power and Industrial Solutions Ltd,0.01,2026-07-20,individual,Promoter Group,165000,500093,2026-06-30,Murugappa
MAM ARUNACHALAM(MAM A & S Arunachalam hold on behalf of Arun Murugappan Children's Trust),CG Power and Industrial Solutions Ltd,0.01,2026-07-20,corporate,Promoter Group,125090,500093,2026-06-30,Murugappa
A M M VELLAYAN SONS P LTD,CG Power and Industrial Solutions Ltd,0.0,2026-07-20,corporate,Promoter Group,1959,500093,2026-06-30,Murugappa
A M MEYYAMMAI,CG Power and Industrial Solutions Ltd,0.0,2026-07-20,individual,Promoter Group,8980,500093,2026-06-30,Murugappa
A.KEERTIKA UNNAMALAI,CG Power and Industrial Solutions Ltd,0.0,2026-07-20,individual,Promoter Group,889,500093,2026-06-30,Murugappa
DHRUV M ARUNACHALAM,CG Power and Industrial Solutions Ltd,0.0,2026-07-20,individual,Promoter Group,1690,500093,2026-06-30,Murugappa
KANIKA SUBBIAH,CG Power and Industrial Solutions Ltd,0.0,2026-07-20,individual,Promoter Group,14850,500093,2026-06-30,Murugappa
LAKSHMI CHOCKALINGAM,CG Power and Industrial Solutions Ltd,0.0,2026-07-20,individual,Promoter Group,44900,500093,2026-06-30,Murugappa
LAKSHMI RAMASWAMY,CG Power and Industrial Solutions Ltd,0.0,2026-07-20,individual,Promoter Group,7490,500093,2026-06-30,Murugappa
"Murugappa & Sons (M.V.Subbiah, M A A and M M M hold shares on behalf of the Firm)",CG Power and Industrial Solutions Ltd,0.0,2026-07-20,corporate,Promoter Group,5100,500093,2026-06-30,Murugappa
NIRANTHARA ALAMELU JAWAHAR,CG Power and Industrial Solutions Ltd,0.0,2026-07-20,individual,Promoter Group,15,500093,2026-06-30,Murugappa
"Sigappi Arunachalam SigappiArun,MAMArunachalam&AMMeyyammaiholdsshares-Murug.Arun.ChildrenTrust",CG Power and Industrial Solutions Ltd,0.0,2026-07-20,corporate,Promoter Group,47750,500093,2026-06-30,Murugappa
UMA RAMANATHAN,CG Power and Industrial Solutions Ltd,0.0,2026-07-20,individual,Promoter Group,2500,500093,2026-06-30,Murugappa
VALLI ALAGAPPAN,CG Power and Industrial Solutions Ltd,0.0,2026-07-20,individual,Promoter Group,500,500093,2026-06-30,Murugappa
VALLI ANNAMALAI,CG Power and Industrial Solutions Ltd,0.0,2026-07-20,individual,Promoter Group,1000,500093,2026-06-30,Murugappa
VEDHIKA MEYYAMMAI ARUNACHALAM,CG Power and Industrial Solutions Ltd,0.0,2026-07-20,individual,Promoter Group,74350,500093,2026-06-30,Murugappa
AMBADI INVESTMENTS LIMITED,Carborundum Universal Ltd,29.43,2026-07-20,corporate,Promoter,56054244,513375,2026-06-30,Murugappa
SBI MIDCAP FUND,Carborundum Universal Ltd,9.66,2026-07-20,corporate,Public (>1%),18394250,513375,2026-06-30,Murugappa
NIPPON LIFE INDIA TRUSTEE LTD-A/C NIPPON INDIA NIF,Carborundum Universal Ltd,5.16,2026-07-20,corporate,Public (>1%),9824737,513375,2026-06-30,Murugappa
KOTAK SMALL CAP FUND,Carborundum Universal Ltd,2.33,2026-07-20,corporate,Public (>1%),4440833,513375,2026-06-30,Murugappa
ICICI PRUDENTIAL MUTUAL FUND - ICICI PRUDENTIAL,Carborundum Universal Ltd,2.21,2026-07-20,corporate,Public (>1%),4205393,513375,2026-06-30,Murugappa
KOTAK FUNDS - INDIA MIDCAP FUND,Carborundum Universal Ltd,2.05,2026-07-20,corporate,Public (>1%),3899986,513375,2026-06-30,Murugappa
MURUGAPPA EDUCATIONAL AND MEDICAL FOUNDATION,Carborundum Universal Ltd,2.0,2026-07-20,corporate,Promoter Group,3811920,513375,2026-06-30,Murugappa
HDFC LARGE AND MID CAP FUND,Carborundum Universal Ltd,1.7,2026-07-20,corporate,Public (>1%),3229169,513375,2026-06-30,Murugappa
TATA ETHICAL FUND,Carborundum Universal Ltd,1.52,2026-07-20,corporate,Public (>1%),2898976,513375,2026-06-30,Murugappa
INVESCO INDIA BALANCED ADVANTAGE FUND,Carborundum Universal Ltd,1.51,2026-07-20,corporate,Public (>1%),2869093,513375,2026-06-30,Murugappa
AXIS MUTUAL FUND TRUSTEE LIMITED A/C AXIS MUTUAL FUND,Carborundum Universal Ltd,1.36,2026-07-20,corporate,Public (>1%),2594355,513375,2026-06-30,Murugappa
SOUTHERN ENERGY DEVELOPMENT CORPORATION LTD,Carborundum Universal Ltd,0.76,2026-07-20,corporate,Promoter Group,1449240,513375,2026-06-30,Murugappa
M.M.MUTHIAH RESEARCH FOUNDATION,Carborundum Universal Ltd,0.58,2026-07-20,corporate,Promoter Group,1104160,513375,2026-06-30,Murugappa
R.MUTHATHA,Carborundum Universal Ltd,0.54,2026-07-20,individual,Promoter Group,1031790,513375,2026-06-30,Murugappa
M A M ARUNACHALAM,Carborundum Universal Ltd,0.53,2026-07-20,individual,Promoter,1003800,513375,2026-06-30,Murugappa
M.A.ALAGAPPAN,Carborundum Universal Ltd,0.41,2026-07-20,individual,Promoter,786000,513375,2026-06-30,Murugappa
A VENKATACHALAM,Carborundum Universal Ltd,0.38,2026-07-20,individual,Promoter,721204,513375,2026-06-30,Murugappa
ARUN ALAGAPPAN,Carborundum Universal Ltd,0.25,2026-07-20,individual,Promoter,471400,513375,2026-06-30,Murugappa
MEENAKSHI MURUGAPPAN,Carborundum Universal Ltd,0.25,2026-07-20,individual,Promoter Group,479900,513375,2026-06-30,Murugappa
V NARAYANAN,Carborundum Universal Ltd,0.22,2026-07-20,individual,Promoter,419000,513375,2026-06-30,Murugappa
V ARUNACHALAM,Carborundum Universal Ltd,0.21,2026-07-20,individual,Promoter,396840,513375,2026-06-30,Murugappa
"A A ALAGAMMAI, Trustee of Lakshmi Ramaswamy Family Trust",Carborundum Universal Ltd,0.2,2026-07-20,corporate,Promoter Group,390000,513375,2026-06-30,Murugappa
"M V SUBBIAH, trustee of Saraswathi Trust",Carborundum Universal Ltd,0.2,2026-07-20,corporate,Promoter Group,388860,513375,2026-06-30,Murugappa
ARUN ALAGAPPAN Trustee of M A Alagappan Grandchildren Trust (AOP),Carborundum Universal Ltd,0.18,2026-07-20,individual,Promoter Group,345600,513375,2026-06-30,Murugappa
M A M ARUNACHALAM Trustee of Arun Murugappan Children Trust (AOP),Carborundum Universal Ltd,0.18,2026-07-20,individual,Promoter Group,345600,513375,2026-06-30,Murugappa
M M MURUGAPPAN,Carborundum Universal Ltd,0.18,2026-07-20,individual,Promoter,340140,513375,2026-06-30,Murugappa
M M MURUGAPPAN As a karta of M M Muthiah HUF,Carborundum Universal Ltd,0.18,2026-07-20,individual,Promoter,335200,513375,2026-06-30,Murugappa
"M M MURUGAPPAN, Trustee of M M Muthiah Family Trust",Carborundum Universal Ltd,0.18,2026-07-20,corporate,Promoter Group,352000,513375,2026-06-30,Murugappa
"M M MURUGAPPAN, Trustee of M M Veerappan Family Trust",Carborundum Universal Ltd,0.18,2026-07-20,corporate,Promoter Group,352000,513375,2026-06-30,Murugappa
M.M.MUTHIAH SONS PRIVATE LTD,Carborundum Universal Ltd,0.16,2026-07-20,corporate,Promoter Group,304000,513375,2026-06-30,Murugappa
MA ALAGAPPAN Karta of AMM Arunachalam HUF,Carborundum Universal Ltd,0.16,2026-07-20,individual,Promoter,300400,513375,2026-06-30,Murugappa
"M V SUBBIAH, trustee of Shambho Trust",Carborundum Universal Ltd,0.15,2026-07-20,corporate,Promoter Group,293181,513375,2026-06-30,Murugappa
"M M VENKATACHALAM, Trustee of M V Muthiah Family Trust",Carborundum Universal Ltd,0.14,2026-07-20,corporate,Promoter Group,262400,513375,2026-06-30,Murugappa
"M M VENKATACHALAM, Trustee of M V Subramanian Family Trust",Carborundum Universal Ltd,0.14,2026-07-20,corporate,Promoter Group,262400,513375,2026-06-30,Murugappa
VALLI ANNAMALAI,Carborundum Universal Ltd,0.14,2026-07-20,individual,Promoter Group,259134,513375,2026-06-30,Murugappa
"M M VENKATACHALAM, trustee of M M Venkatachalam Family Trust",Carborundum Universal Ltd,0.12,2026-07-20,corporate,Promoter Group,222740,513375,2026-06-30,Murugappa
M A ALAGAPPAN HOLDINGS PRIVATE LIMITED,Carborundum Universal Ltd,0.11,2026-07-20,corporate,Promoter Group,210020,513375,2026-06-30,Murugappa
ARUN VENKATACHALAM,Carborundum Universal Ltd,0.1,2026-07-20,individual,Promoter,187840,513375,2026-06-30,Murugappa
M A ALAGAPPAN Karta of M A ALAGAPPAN HUF,Carborundum Universal Ltd,0.1,2026-07-20,individual,Promoter,188000,513375,2026-06-30,Murugappa
"M M VENKATACHALAM, Trustee of Lakshmi Venkatachalam Family Trust",Carborundum Universal Ltd,0.1,2026-07-20,corporate,Promoter Group,200000,513375,2026-06-30,Murugappa
AR.LAKSHMI ACHI TRUST,Carborundum Universal Ltd,0.08,2026-07-20,corporate,Promoter Group,153140,513375,2026-06-30,Murugappa
M A MURUGAPPAN HOLDINGS LLP,Carborundum Universal Ltd,0.08,2026-07-20,corporate,Promoter Group,145940,513375,2026-06-30,Murugappa
LALITHA VELLAYAN,Carborundum Universal Ltd,0.06,2026-07-20,individual,Promoter Group,116500,513375,2026-06-30,Murugappa
M A M ARUNACHALAM As a karta of M A Murugappan HUF,Carborundum Universal Ltd,0.05,2026-07-20,individual,Promoter,92000,513375,2026-06-30,Murugappa
MEYYAMMAI VENKATACHALAM,Carborundum Universal Ltd,0.05,2026-07-20,individual,Promoter Group,100000,513375,2026-06-30,Murugappa
M V SUBBIAH As a Karta of M V SUBBIAH HUF,Carborundum Universal Ltd,0.04,2026-07-20,individual,Promoter,81600,513375,2026-06-30,Murugappa
VALLIAMMAI MURUGAPPAN,Carborundum Universal Ltd,0.03,2026-07-20,individual,Promoter Group,52000,513375,2026-06-30,Murugappa
A M MEYYAMMAI,Carborundum Universal Ltd,0.01,2026-07-20,individual,Promoter Group,21300,513375,2026-06-30,Murugappa
M M MURUGAPPAN Karta of M M Murugappan HUF,Carborundum Universal Ltd,0.01,2026-07-20,individual,Promoter,16000,513375,2026-06-30,Murugappa
VALLI ALAGAPPAN,Carborundum Universal Ltd,0.01,2026-07-20,individual,Promoter Group,15151,513375,2026-06-30,Murugappa
A M M VELLAYAN SONS P LTD,Carborundum Universal Ltd,0.0,2026-07-20,corporate,Promoter Group,1700,513375,2026-06-30,Murugappa
A V NAGALAKSHMI,Carborundum Universal Ltd,0.0,2026-07-20,individual,Promoter Group,75,513375,2026-06-30,Murugappa
A.KEERTIKA UNNAMALAI,Carborundum Universal Ltd,0.0,2026-07-20,individual,Promoter Group,1000,513375,2026-06-30,Murugappa
CHOLAMANDALAM FINANCIAL HOLDINGS LIMITED,Carborundum Universal Ltd,0.0,2026-07-20,corporate,Promoter,6000,513375,2026-06-30,Murugappa
DHRUV M ARUNACHALAM,Carborundum Universal Ltd,0.0,2026-07-20,individual,Promoter Group,1200,513375,2026-06-30,Murugappa
E.I.D.PARRY (INDIA) LTD.,Carborundum Universal Ltd,0.0,2026-07-20,corporate,Promoter,2000,513375,2026-06-30,Murugappa
KRISHNA MURUGAPPAN MUTHIAH,Carborundum Universal Ltd,0.0,2026-07-20,individual,Promoter Group,5000,513375,2026-06-30,Murugappa
PRANAV ALAGAPPAN,Carborundum Universal Ltd,0.0,2026-07-20,individual,Promoter Group,2000,513375,2026-06-30,Murugappa
SOLACHI RAMANATHAN,Carborundum Universal Ltd,0.0,2026-07-20,individual,Promoter Group,2000,513375,2026-06-30,Murugappa
"SUBBIAH.M.V, ALAGAPPAN M A and M M MURUGAPPAN holds on behalf of the firm Murugappa & Sons",Carborundum Universal Ltd,0.0,2026-07-20,corporate,Promoter,480,513375,2026-06-30,Murugappa
UMA RAMANATHAN,Carborundum Universal Ltd,0.0,2026-07-20,individual,Promoter Group,3250,513375,2026-06-30,Murugappa
V VASANTHA,Carborundum Universal Ltd,0.0,2026-07-20,individual,Promoter Group,50,513375,2026-06-30,Murugappa
AMBADI INVESTMENTS LIMITED,Cholamandalam Financial Holdings Ltd,37.69,2026-07-16,corporate,Promoter,70766595,504973,2026-06-30,Murugappa
NIPPON LIFE INDIA TRUSTEE LTD-A/C NIPPON INDIA NIF,Cholamandalam Financial Holdings Ltd,4.78,2026-07-16,corporate,Public (>1%),8977807,504973,2026-06-30,Murugappa
SBI LARGE & MIDCAP FUND,Cholamandalam Financial Holdings Ltd,4.12,2026-07-16,corporate,Public (>1%),7744605,504973,2026-06-30,Murugappa
BANDHAN MULTI CAP FUND,Cholamandalam Financial Holdings Ltd,3.01,2026-07-16,corporate,Public (>1%),5651763,504973,2026-06-30,Murugappa
AXIS MUTUAL FUND TRUSTEE LIMITED A/C AXIS MUTUAL F,Cholamandalam Financial Holdings Ltd,2.13,2026-07-16,corporate,Public (>1%),4004428,504973,2026-06-30,Murugappa
HDFC MUTUAL FUND - HDFC BSE 500 ETF,Cholamandalam Financial Holdings Ltd,2.13,2026-07-16,corporate,Public (>1%),4006730,504973,2026-06-30,Murugappa
INVESCO INDIA MIDCAP FUND,Cholamandalam Financial Holdings Ltd,1.18,2026-07-16,corporate,Public (>1%),2218049,504973,2026-06-30,Murugappa
CANARA ROBECO MUTUAL FUND A/C CANARA ROBECO EQUITY,Cholamandalam Financial Holdings Ltd,1.17,2026-07-16,corporate,Public (>1%),2197724,504973,2026-06-30,Murugappa
PI OPPORTUNITIES AIF V LLP,Cholamandalam Financial Holdings Ltd,1.01,2026-07-16,corporate,Public (>1%),1904424,504973,2026-06-30,Murugappa
M A M ARUNACHALAM,Cholamandalam Financial Holdings Ltd,0.45,2026-07-16,individual,Promoter,842760,504973,2026-06-30,Murugappa
LAKSHMI RAMASWAMY FAMILY TRUST(AA ALAGAMMAI & LAKSHMI RAMASWAMY HOLDS SHARES ON BEHALF OF TRUST),Cholamandalam Financial Holdings Ltd,0.4,2026-07-16,corporate,Promoter Group,743000,504973,2026-06-30,Murugappa
V ARUNACHALAM,Cholamandalam Financial Holdings Ltd,0.4,2026-07-16,individual,Promoter,747622,504973,2026-06-30,Murugappa
ARUN ALAGAPPAN,Cholamandalam Financial Holdings Ltd,0.39,2026-07-16,individual,Promoter,741090,504973,2026-06-30,Murugappa
MURUGAPPA EDUCATIONAL AND MEDICAL FOUNDATION,Cholamandalam Financial Holdings Ltd,0.39,2026-07-16,corporate,Promoter Group,726200,504973,2026-06-30,Murugappa
M.A.ALAGAPPAN,Cholamandalam Financial Holdings Ltd,0.38,2026-07-16,individual,Promoter,710000,504973,2026-06-30,Murugappa
V NARAYANAN,Cholamandalam Financial Holdings Ltd,0.37,2026-07-16,individual,Promoter,689771,504973,2026-06-30,Murugappa
A VENKATACHALAM,Cholamandalam Financial Holdings Ltd,0.31,2026-07-16,individual,Promoter,573979,504973,2026-06-30,Murugappa
LAKSHMI CHOCKA LINGAM,Cholamandalam Financial Holdings Ltd,0.29,2026-07-16,individual,Promoter Group,542060,504973,2026-06-30,Murugappa
M A MURUGAPPAN HOLDINGS LLP,Cholamandalam Financial Holdings Ltd,0.29,2026-07-16,corporate,Promoter Group,546860,504973,2026-06-30,Murugappa
Shambho Trust (M V Subbiah & S Vellayan are trustees of the trust),Cholamandalam Financial Holdings Ltd,0.29,2026-07-16,corporate,Promoter Group,537940,504973,2026-06-30,Murugappa
M A ALAGAPPAN HOLDINGS PRIVATE LIMITED,Cholamandalam Financial Holdings Ltd,0.28,2026-07-16,corporate,Promoter Group,529860,504973,2026-06-30,Murugappa
Meenakshi Murugappan Family Trust (M M Murugappan & Meenakshi Murugappan are trustees of the trust),Cholamandalam Financial Holdings Ltd,0.27,2026-07-16,corporate,Promoter Group,500000,504973,2026-06-30,Murugappa
"Saraswathi Trust (M V Subbiah, S Vellayan & M V Seetha Subbiah are trustees of the trust)",Cholamandalam Financial Holdings Ltd,0.27,2026-07-16,corporate,Promoter Group,515180,504973,2026-06-30,Murugappa
M M MUTHIAH FAMILY TRUST (M M MURUGAPPAN & M M MUTHIAH HOLDS SHARES ON BEHALF OF THE TRUST),Cholamandalam Financial Holdings Ltd,0.25,2026-07-16,corporate,Promoter Group,478055,504973,2026-06-30,Murugappa
MM VEERAPPAN FAMILY TRUST(MM MURUGAPPAN & MEENAKSHI MURUGAPPAN HOLDS SHARES ON BEHALF OF THE TRUST),Cholamandalam Financial Holdings Ltd,0.25,2026-07-16,corporate,Promoter Group,468055,504973,2026-06-30,Murugappa
ARUN VENKATACHALAM,Cholamandalam Financial Holdings Ltd,0.24,2026-07-16,individual,Promoter,452000,504973,2026-06-30,Murugappa
MV MUTHIAH FAMILY TRUST (M M VENKATACHALAM & M V MUTHIAH HOLDS SHARES ON BEHALF OF THE TRUST,Cholamandalam Financial Holdings Ltd,0.24,2026-07-16,corporate,Promoter Group,459830,504973,2026-06-30,Murugappa
MV SUBRAMANIAN FAMILY TRUST (Mr. MM Venkatachalam & MV Subramanian hold shares on behalf of trust),Cholamandalam Financial Holdings Ltd,0.24,2026-07-16,corporate,Promoter Group,459830,504973,2026-06-30,Murugappa
MM Venkatachalam Family Trust(MM Venkatachalam&Lakshmi Venkatachalam hold shares on behalf oftrust),Cholamandalam Financial Holdings Ltd,0.22,2026-07-16,corporate,Promoter Group,403900,504973,2026-06-30,Murugappa
AR LAKSHMI ACHI TRUST,Cholamandalam Financial Holdings Ltd,0.21,2026-07-16,corporate,Promoter Group,391510,504973,2026-06-30,Murugappa
Lakshmi Venkatachalam Family Trust(M M Venkatachalam&Lakshmi Venkatachalam are trustees of trust),Cholamandalam Financial Holdings Ltd,0.2,2026-07-16,corporate,Promoter Group,379905,504973,2026-06-30,Murugappa
M M MURUGAPPAN HUF(M M Murugappan holds shares in the capacity as kartha),Cholamandalam Financial Holdings Ltd,0.19,2026-07-16,individual,Promoter,355330,504973,2026-06-30,Murugappa
MEYYAMMAI VENKATACHALAM,Cholamandalam Financial Holdings Ltd,0.19,2026-07-16,individual,Promoter Group,358580,504973,2026-06-30,Murugappa
VALLI ANNAMALAI,Cholamandalam Financial Holdings Ltd,0.19,2026-07-16,individual,Promoter Group,361025,504973,2026-06-30,Murugappa
Muthatha Ramanathan,Cholamandalam Financial Holdings Ltd,0.18,2026-07-16,individual,Promoter Group,337830,504973,2026-06-30,Murugappa
M M Muthiah HUF (M M Murugappan hold shares in the capacity as kartha),Cholamandalam Financial Holdings Ltd,0.15,2026-07-16,individual,Promoter,277360,504973,2026-06-30,Murugappa
M.M.MUTHIAH RESEARCH FOUNDATION,Cholamandalam Financial Holdings Ltd,0.15,2026-07-16,corporate,Promoter Group,280920,504973,2026-06-30,Murugappa
Arun Murugappan Children's Trust (MAM Arunachalam & Sigappi Arunachalam hold on behalf of trust),Cholamandalam Financial Holdings Ltd,0.12,2026-07-16,corporate,Promoter Group,220278,504973,2026-06-30,Murugappa
M A Alagappan Grand Children Trust (Arun Alagappan& AA Alagammai hold shares on behalf of Trust),Cholamandalam Financial Holdings Ltd,0.12,2026-07-16,corporate,Promoter Group,216777,504973,2026-06-30,Murugappa
M M Murugappan Family Trust (M M Murugappan & Meenakshi Murugappan are trustees of the trust),Cholamandalam Financial Holdings Ltd,0.12,2026-07-16,corporate,Promoter Group,231800,504973,2026-06-30,Murugappa
SIGAPI ARUNACHALAM,Cholamandalam Financial Holdings Ltd,0.12,2026-07-16,individual,Promoter Group,227990,504973,2026-06-30,Murugappa
M M MURUGAPPAN,Cholamandalam Financial Holdings Ltd,0.11,2026-07-16,individual,Promoter,209715,504973,2026-06-30,Murugappa
Murugappan Arunachalam Children Trust (Sigapi Arunachalam alongwith others hold shares of Trust),Cholamandalam Financial Holdings Ltd,0.11,2026-07-16,corporate,Promoter Group,215410,504973,2026-06-30,Murugappa
M V SUBBIAH (Hold shares in the capacity as Kartha of HUF),Cholamandalam Financial Holdings Ltd,0.09,2026-07-16,individual,Promoter,171200,504973,2026-06-30,Murugappa
M A M ARUNACHALAM (in the capacity of Karta of HUF),Cholamandalam Financial Holdings Ltd,0.08,2026-07-16,individual,Promoter,148660,504973,2026-06-30,Murugappa
M A ALAGAPPAN HUF(M A Alagappan hold shares in the capacity as kartha ),Cholamandalam Financial Holdings Ltd,0.07,2026-07-16,individual,Promoter,130660,504973,2026-06-30,Murugappa
